Gene Symbol,Relevance score
BRCA2,381.91
BRCA1,356.13
TP53,209.98
PALB2,167.7
CHEK2,165.5
CDH1,163.94
ATM,150.74
ERBB2,148.69
BRIP1,148.32
PTEN,139.6
MSH6,138.69
MLH1,137.03
APC,135.86
BARD1,134.59
EGFR,128.68
ESR1,127.07
PIK3CA,118.28
RAD51D,110.79
MSH2,108.74
NBN,102.11
RAD51C,100.89
AKT1,100.67
KRAS,100.23
CCND1,97.54
STK11,96.11
CTNNB1,94.47
SMAD4,93.75
NF1,92.67
CDKN2A,91.91
AR,88.47
VEGFA,88.39
BRAF,84.3
MYC,84.02
CDK4,81.87
MRE11,81.27
MDM2,80.67
POLE,80.42
CDKN1A,80.28
CYP19A1,79.47
CDKN1B,78.07
FGFR2,77.99
TERT,77.19
HRAS,77
MET,76.71
RB1,76.32
TGFBR2,76.13
RAD51,74.68
EGF,74.36
TGFB1,74.33
STAT3,74.12
BAX,72.28
TNF,70.23
RAD50,70
ESR2,69.37
MTOR,68.52
CASP8,68.2
IL6,67.6
PLAU,63.92
MIR21,63.3
PMS2,63.25
IGF2,62.91
PGR,62.81
FGFR1,62.42
NOTCH1,62.21
FAS,61.85
KIT,61.72
EPCAM,61.68
AXIN2,60.79
SRC,60.76
TYMS,60.31
ALK,59.68
BCL2,59.42
RAD51L3-RFFL,59.17
EP300,59.02
FHIT,58.91
CXCR4,58.72
RAF1,58.46
H19,58.04
AURKA,57.65
MUC1,56.94
AKT2,56.55
PIK3R1,56.18
PPM1D,55.91
TOP2A,55.43
PDGFRB,55.42
BMPR1A,55.09
PRLR,55.03
TYMP,53.93
XRCC3,53.92
NME1,53.76
TGFBR1,53.5
EZH2,53.43
GNAS,53.42
MAP2K1,53.17
CHEK1,53.15
CYP17A1,52.95
SPP1,52.91
MIR221,52.47
IDH1,52.09
MMP1,52
MIR145,51.9
DNMT1,51.52
KLLN,51.23
MIR34A,51.19
PTGS2,51.06
FGFR4,50.86
ERBB4,50.66
KRT8,50.58
CASP3,50.56
TWIST1,50.55
GNRH1,50.11
FLT1,49.84
CDKN3,49.61
MIR143,49.6
TGFB2,49.58
MIR146A,49.49
WWOX,49.44
MIR222,49.3
MIR155,49.16
KRT5,49.14
TCF7L2,49.08
CXCL12,48.75
C11orf65,48.72
IGF1R,48.46
TP63,48.32
MMP9,48.29
STAT1,48.22
GLI1,48.19
ABCG2,48.17
INS,48.1
ABRAXAS1,48.04
POLD1,47.93
IGF1,47.85
HIF1A,47.59
GATA3,47.58
MUTYH,47.57
MIR31,47.5
MIR200C,47.47
AKT3,47.26
MMP2,47.18
FASLG,46.94
CYP1B1,46.89
MIR141,46.89
MIR17,46.81
MIR203A,46.78
MIR125A,46.78
MAPK1,46.75
MIR126,46.6
KRT14,46.47
MIR205,46.34
SNAI2,46.31
SLC22A18,46.04
HSPB1,45.78
MIR195,45.65
BUB1B,45.63
MIR210,45.62
FOXO1,45.53
ABCB1,45.42
GSTP1,45.4
MIR200B,45.38
SMAD7,45.33
RB1CC1,45.12
MIR10B,45.05
MIR182,44.94
MIR20A,44.94
MIR27A,44.88
NOS2,44.84
CTSD,44.74
BIRC5,44.1
JUN,44
NRAS,43.97
AHR,43.94
ERCC2,43.77
RAD54L,43.7
CD44,43.66
IGF2R,43.53
MIR200A,43.44
MIR148A,43.42
XRCC2,43.36
IRS1,43.22
ODC1,42.83
MIR335,42.77
MIR191,42.76
MIR96,42.69
FGF8,42.68
DICER1,42.5
ERBB3,42.27
TFF1,42.22
GJA1,42.15
PHB,42.13
RARA,42.02
ING1,41.92
WNT1,41.82
MIR29C,41.76
MIRLET7D,41.65
WNT5A,41.65
NTRK1,41.58
ETS1,41.57
FGFR3,41.5
MIR127,41.47
PRKACA,41.4
MKI67,41.25
ABCC1,41.17
MIR199B,41.15
TACC1,41.08
PPARG,41.06
NTRK3,41.04
KCNQ1OT1,41.02
MGMT,40.8
MIR22,40.66
PARP1,40.6
MIR30E,40.56
TGFA,40.54
STS,40.49
RET,40.44
HFE,40.41
RRAS2,40.39
BCAR3,40.19
CDK1,40.14
MIR146B,40.08
IGFBP3,40.02
CDK2,39.92
MIR18A,39.91
NBR2,39.88
CYP1A1,39.75
TFAP2A,39.73
MIAT,39.72
MIR451A,39.64
MSR1,39.54
MIR204,39.53
MIR29B2,39.49
NCOA3,39.4
HMMR,39.28
MIR128-2,39.22
TNFSF10,39.15
CXCL8,39.08
BCAR1,39.04
CASP9,39
MIR206,38.93
FOXC1,38.91
MIR181A1,38.84
BCL2L1,38.78
BAP1,38.77
STAT5B,38.53
FGF2,38.45
CSF3,38.34
SEMA3A,38.31
EPOR,38.25
CDKN2B,38.19
JAG1,38.17
CBFB,38.06
MAPK8,38.06
MEN1,38.01
MIR152,37.96
NRG1,37.85
MIR320A,37.82
TSC2,37.69
KDR,37.62
WT1,37.61
MAPK3,37.53
MIR122,37.29
MIR429,37.27
KLK3,37.05
GMNN,37.04
VEGFC,36.9
KRT19,36.81
MIRLET7A3,36.78
MIR181A2,36.75
IL1B,36.6
CAV1,36.56
RASSF1,36.48
MIR181B1,36.47
ETV4,36.39
PTK2,36.19
MIR499A,36.13
CEACAM5,36.08
PLAUR,35.81
IL2,35.78
MIR373,35.74
MIR196A2,35.66
GSTM1,35.57
PCNA,35.57
NQO1,35.56
BRMS1,35.52
E2F1,35.4
PTHLH,35.07
MIR98,35.05
HGF,35.04
CDK6,34.84
ECM1,34.39
ATR,34.35
XIAP,34.31
CTNNA1,34.31
ERCC1,34.3
MIRLET7I,34.21
NFKB1,34.19
NAT2,34.13
CCNB1,34.09
TNFRSF10B,34.08
IFNG,34.08
CCNE1,33.96
MIR128-1,33.94
RARB,33.83
FN1,33.81
SP1,33.72
BMP6,33.69
HOTAIR,33.66
CCNA2,33.52
CYCS,33.5
MIR328,33.41
GSK3B,33.34
MIR193B,33.29
TOP1,33.24
MMP14,33.24
SDHB,32.72
FOS,32.39
SLC2A1,32.35
PRKCA,32.26
PRL,32.25
RPS6KB1,32.22
XRCC1,32.21
RELA,32.21
IL10,32.19
HSP90AA1,32.18
SNCG,32.16
TIMP1,32.15
SMAD2,32.12
HERC2,32.09
NQO2,31.94
CDKN2B-AS1,31.74
MIR9-3,31.67
MALAT1,31.65
FBXW7,31.61
MIR223,31.54
CCND2,31.51
PVT1,31.5
RHOA,31.49
KRT18,31.38
SHBG,31.31
BAK1,31.27
CSF2,31.25
FLT4,31.04
MIR214,31.02
PMS1,30.94
MTA1,30.92
NF2,30.88
KLK10,30.85
MAPK14,30.8
HDAC1,30.8
GADD45A,30.68
AXL,30.64
GPER1,30.61
BCAS1,30.61
MIR502,30.56
SERPINE1,30.55
FASN,30.55
DIRC3,30.53
SERPINB5,30.52
TIMP2,30.51
MIR520C,30.39
BCAR4,30.29
PIK3CG,30.28
UCA1,30.2
VEGFD,30.03
MIR661,29.91
LEP,29.89
TSC1,29.81
IFI27,29.68
SMAD3,29.64
HDAC4,29.57
FOXA1,29.56
TIMP3,29.39
ST14,29.38
MLH3,29.34
ITGB1,29.29
SKP2,29.28
PRKN,29.24
AREG,29.23
TNFSF11,29.19
SMARCA4,29.16
MIR100,29.13
ERCC6,29.1
GAS5,29.1
GNRHR,29.01
MIR510,28.97
ENG,28.91
TOX3,28.89
PRKAR1A,28.89
MME,28.87
BRMS1L,28.8
DPYD,28.77
HOXB13,28.77
NKX2-1,28.74
PLK1,28.74
ICAM1,28.73
TSG101,28.72
LGALS3,28.64
ERCC4,28.45
XBP1,28.4
RAD51B,28.39
WRN,28.36
CDH2,28.36
MIR29A,28.34
PTCH1,28.3
PAK1,28.25
PIP,28.22
MTHFR,28.02
COMT,27.97
MEG3,27.94
PBOV1,27.91
FGF3,27.83
ANKRD30A,27.83
DNMT3B,27.8
BMI1,27.7
CDH3,27.64
MSH3,27.6
MMP11,27.6
GRB2,27.39
KRT7,27.34
CASP7,27.33
CLCA2,27.3
MUCL1,27.29
E2F3,27.23
HSD17B1,27.23
ECT2,27.2
AGR3,27.13
SDHD,27.11
CAT,27.09
BCAS3,27.08
CA9,27.01
OGG1,26.93
CD274,26.84
MIR30A,26.84
HNF1B,26.83
S100A4,26.78
MIR183,26.78
FGF7,26.78
SCGB2A2,26.75
ALDH1A1,26.75
NFE2L2,26.74
MIR34B,26.69
MAPK10,26.68
CSF1R,26.65
CCAT2,26.6
CLDN7,26.53
MIR99A,26.5
CTLA4,26.44
IDH2,26.43
TG,26.43
FGF1,26.4
CCAT1,26.36
SHC1,26.34
DCC,26.34
MIR34C,26.31
CD40LG,26.25
BSG,26.06
BAG1,26.05
CDC42,26.05
HBEGF,26.04
SRA1,26.04
BECN1,26.03
TUG1,26.01
PIK3CB,26.01
NEAT1,26
RNF43,25.99
CDK7,25.96
CASP10,25.95
TEK,25.94
SPRY4-IT1,25.91
MMP3,25.89
CREB1,25.83
PTK6,25.82
XIST,25.79
CTTN,25.74
IL2RA,25.73
KISS1,25.61
LINC-ROR,25.61
PDGFRA,25.59
POMC,25.55
MIR106A,25.53
SDHC,25.53
CCNG1,25.51
EPHA3,25.51
CCND3,25.49
CREBBP,25.41
EREG,25.37
MIR106B,25.37
CDC25A,25.36
PTPRC,25.34
MAP3K1,25.32
ANXA1,25.28
MTDH,25.27
PTK2B,25.15
JAK2,25.09
BEX2,24.99
ITGA6,24.95
GSN,24.93
MMP7,24.91
MIR224,24.89
VIM,24.89
KRT20,24.87
IL1RN,24.79
SEC23B,24.77
ROBO1,24.69
FGF4,24.68
KLF6,24.68
YBX1,24.64
TLR4,24.59
DDR1,24.53
TP73,24.5
KDM5B,24.47
NCOA1,24.43
MMP13,24.42
CTCF,24.33
CASC2,24.32
APOD,24.3
VDR,24.29
MUC16,24.28
MIRLET7C,24.24
MIR15A,24.22
EMSY,24.18
NR3C1,24.13
EIF4E,24.12
NRP1,24.11
GPX1,24.09
ARID4B,24.08
MIRLET7G,23.99
STMN1,23.93
EDNRA,23.9
NET1,23.9
BLM,23.83
MAGED2,23.77
LASP1,23.76
TFAP2C,23.75
MIR19A,23.74
MIR140,23.72
MIR25,23.7
PELP1,23.58
MIR107,23.56
ZEB1,23.52
MIR150,23.52
NCOA6,23.51
GRN,23.44
FOSL1,23.42
NFKBIA,23.3
HEATR6,23.27
YAP1,23.21
MCL1,23.21
PDCD1,23.19
SETD2,23.12
CCN1,23.1
HMGA2,23.08
TRIM24,23.05
CSNK1D,23.02
ZFAS1,23
SOX2,23
GPC3,22.97
CCN2,22.96
MIR375,22.96
AGR2,22.94
HOTTIP,22.94
RHOC,22.93
PALLD,22.92
CCL2,22.85
WNT10B,22.82
EPHB4,22.81
MIR497,22.78
SFN,22.75
MAPK9,22.75
SULT1E1,22.74
TIMELESS,22.72
SMARCB1,22.7
MIR23B,22.66
MITF,22.65
SNHG31,22.64
LMNA,22.62
IGFBP5,22.6
FBLN1,22.56
CDC25B,22.49
SRD5A2,22.46
MT-CYB,22.45
ACTC1,22.44
OPCML,22.43
RBBP8,22.43
TEX14,22.39
THBS1,22.38
HPGD,22.37
RHOBTB2,22.36
NOTCH4,22.36
SOX10,22.36
CDC27,22.35
TGFB3,22.35
ITGB3,22.31
GSTT1,22.28
SLC9A3R1,22.27
SGK3,22.26
SUSD2,22.26
ETV6,22.26
MIR23A,22.25
MIRLET7E,22.16
GRB7,22.14
SPINK1,22.13
UGT1A1,22.11
CYTOR,22.1
MAPK12,22.1
HOXA11-AS,21.91
MST1R,21.85
PTPN11,21.8
TLR2,21.8
PTENP1,21.79
MIR9-1,21.78
MIR101-1,21.76
SNHG16,21.74
MIR15B,21.7
ABCC2,21.7
SOX9,21.58
CHGA,21.58
PDGFA,21.57
ADIPOQ,21.57
DANCR,21.56
ENO2,21.54
S100A7,21.51
PTPA,21.45
BIRC3,21.42
CCNH,21.41
ITGB3BP,21.34
KIAA0100,21.33
ESRRA,21.31
TRIM25,21.29
ERCC3,21.26
SOX2-OT,21.25
MCM2,21.24
PANDAR,21.18
MPO,21.16
TP53BP1,21.1
AMPH,21.09
CEP85L,21.07
PTN,21.05
MIR149,20.96
KITLG,20.95
MED12,20.93
LOXL2,20.9
FH,20.81
FLT3,20.81
BCYRN1,20.81
SRRM3,20.81
MIR424,20.78
VHL,20.74
FGF6,20.73
MC1R,20.73
PRKCD,20.69
CYP2D6,20.65
ANXA5,20.63
ARFGEF3,20.61
MCC,20.61
GRP,20.6
NPM1,20.58
POT1,20.49
MIR24-2,20.48
MIR10A,20.48
BMP1,20.45
MIR124-3,20.43
SOD2,20.41
CSK,20.41
MIR32,20.34
INSR,20.32
CCNB2,20.29
GFAP,20.28
VEGFB,20.25
RAC1,20.14
MUC4,20.13
PRDM14,20.11
CSN2,20.09
CDX2,20.04
LOC105371843,20.01
DES,19.95
CRNDE,19.93
TIMP4,19.92
MIR16-1,19.89
ZNF703,19.87
MIR331,19.86
FSHR,19.85
DCTN5,19.82
GLI2,19.79
MAP2K5,19.73
AKAP13,19.67
MIR142,19.65
GREB1,19.64
FOXP3,19.62
ROS1,19.61
CBL,19.56
TRPS1,19.54
AIP,19.52
CTAG1B,19.52
PAX5,19.45
MIR296,19.44
TP53COR1,19.35
PLG,19.31
CSF1,19.31
TNFRSF10A,19.27
CFLAR,19.26
ALB,19.2
DPH1,19.17
CTSB,19.12
XPC,19.09
NR5A1,19.09
SNHG15,19.09
LNCRNA-ATB,19.08
SYP,19.06
AKIP1,19.06
FLCN,19.01
