,gene1,gene2,weight
0,TNF,TNFRSF1A,1
1,CTNNB1,LEF1,1
2,IGF1,IGFBP4,1
3,CDK4,CCND1,1
4,NCOA3,CREBBP,1
5,BLM,FANCM,1
6,BUB3,MAD2L1,1
7,CDKN1A,CDK2,1
8,SDHD,SDHA,1
9,ERCC2,ERCC3,1
10,SDHB,SDHC,1
11,FANCM,RPA1,1
12,SMARCA4,SMARCB1,1
13,MT-CO2,MT-CYB,1
14,E2F1,RB1,1
15,FANCA,FANCC,1
16,CASP8,BID,1
17,NTRK1,NGF,1
18,AKT1,NOS3,1
19,TP53,EP300,1
20,CDK2,CCNB1,1
21,CDK6,CDKN2C,1
22,POU5F1,NANOG,1
23,CUL1,RBX1,1
24,MCM2,CDC6,1
25,MAML2,NOTCH2,1
26,FANCC,HES1,1
27,AKT1,FOXO3,1
28,MT-ND2,MT-CYB,1
29,PCNA,POLH,1
30,HRAS,RAF1,1
31,MAD2L1,BUB1B,1
32,POLD1,POLE,1
33,CHEK2,ATM,1
34,MT-CYB,MT-CO1,1
35,RAD51,BRCA2,1
36,SDHD,SDHB,1
37,APOA1,APOB,1
38,AKT1,MTOR,1
39,SOX2,POU5F1,1
40,MCM4,CDC6,1
41,FANCA,FANCE,1
42,CDKN1A,CCND3,1
43,TRAF6,TLR3,1
44,CTNND1,SRC,1
45,TNF,TNFRSF1B,1
46,GRB2,CBL,1
47,CCNE1,CDK4,1
48,SDHC,SDHA,1
49,CHEK2,ATR,1
50,PTPN11,GAB1,1
51,MDM4,TP53,1
52,CDC45,MCM2,1
53,BUB3,BUB1,1
54,CDK1,AURKA,1
55,MTOR,LAMTOR5,1
56,SHC1,GRB2,1
57,NFKB1,NFKBIA,1
58,ERCC2,ERCC5,1
59,PLK1,CCNB1,1
60,BID,CASP2,1
61,RBBP4,SUZ12,1
62,IKBKB,NFKBIA,1
63,JAK2,STAT5A,1
64,XIAP,CASP9,1
65,NCOA2,AR,1
66,MCM2,MCM4,1
67,FANCC,FANCE,1
68,CDKN1A,CCNA1,1
69,MAP2K1,BRAF,1
70,CCND3,CDK4,1
71,MT-ND4,MT-CYB,1
72,CREB1,CREBBP,1
73,CDT1,CDC6,1
74,XRCC5,PRKDC,1
75,AURKB,BUB1B,1
76,TEK,ANGPT2,1
77,BCL10,MALT1,1
78,PLAU,PLAUR,1
79,IRS1,INSR,1
80,PTPN11,IRS1,1
81,CDKN1A,CCND2,1
82,CDKN1A,PCNA,1
83,MCM3,CDC45,1
84,TIMELESS,RPA1,1
85,CDC27,NEK2,1
86,MSH2,MLH1,1
87,MTOR,RHEB,1
88,NEK2,BUB1B,1
89,CASP8,TNFRSF10B,1
90,HSPA5,HSP90B1,1
91,GTF2H5,CCNH,1
92,CDC45,MCM4,1
93,CCNB2,CDK2,1
94,MAPK8,JUN,1
95,MAD1L1,MAD2L1,1
96,CHEK1,CDC25A,1
97,AXIN1,APC,1
98,TGFBR1,TGFB3,1
99,JAK2,STAT5B,1
100,FANCF,FANCM,1
101,CDC27,BUB3,1
102,TIMP2,MMP2,1
103,CCNA2,CDK4,1
104,MT-ND4,MT-ND6,1
105,GRB2,EGFR,1
106,PSENEN,PSEN1,1
107,PTCH1,SHH,1
108,FAS,CASP10,1
109,CASP8,CASP3,1
110,PMS2,MSH6,1
111,AKT1,GSK3B,1
112,FAS,FADD,1
113,CASP7,CASP8,1
114,CDK2,CDC6,1
115,CFLAR,TNFRSF10A,1
116,TRAF3,CD40,1
117,BUB1,BUB1B,1
118,MTOR,EIF4EBP1,1
119,CHEK1,RAD51,1
120,BLM,RPA1,1
121,COL1A2,COL1A1,1
122,CCNE2,CDK2,1
123,ANGPT1,TEK,1
124,EIF4E,EIF4EBP1,1
125,CCR3,CCL11,1
126,CHEK1,ATR,1
127,SMARCA4,ARID1A,1
128,TBL1XR1,NCOR1,1
129,MCM2,MCM5,1
130,CDK2,CDKN1B,1
131,MT-CO2,COX5A,1
132,HES1,FANCE,1
133,CDKN2D,CDK6,1
134,SUFU,GLI1,1
135,SMARCA4,SMARCE1,1
136,JUN,FOS,1
137,MCM3,MCM5,1
138,CDKN1A,CCND1,1
139,FANCF,FANCC,1
140,FOXO3,SIRT1,1
141,FAS,CFLAR,1
142,PTPN1,IGF1R,1
143,CTNNB1,AXIN1,1
144,IKBKG,RIPK1,1
145,ERCC3,CCNH,1
146,CDC42,PAK1,1
147,CCNA2,CDC6,1
148,FANCG,FANCM,1
149,LIG4,XRCC4,1
150,RHEB,TSC2,1
151,CDT1,GMNN,1
152,MT-ND3,MT-ND4,1
153,ACD,POT1,1
154,MCM4,MCM5,1
155,ITGB3,ITGAV,1
156,CASP8,BCL2L1,1
157,BCAR1,PXN,1
158,IL6,IL6R,1
159,CCNH,CDK7,1
160,CDC27,BUB1B,1
161,EZH2,SUZ12,1
162,MTOR,RPS6KB1,1
163,BID,BCL2L1,1
164,MAML2,NOTCH4,1
165,RELA,CREBBP,1
166,BMP2,BMPR1A,1
167,XIAP,CASP3,1
168,POLR3A,POLR3B,1
169,CTNND1,FYN,1
170,CDK6,CCND1,1
171,FYN,CDH1,1
172,MCM3,MCM2,1
173,CTNNB1,CDH1,1
174,CCNA2,CDK6,1
175,FOS,JUND,1
176,CTNNB1,APC,1
177,IGF1,IGFBP5,1
178,PCNA,RPA1,1
179,RPSA,RPS27A,1
180,RPS20,RPS27,1
181,CDC27,CCNB1,1
182,CCNA2,CDKN1B,1
183,BECN1,BCL2L1,1
184,XRCC6,PRKDC,1
185,XPA,ERCC1,1
186,CASP10,TNFRSF10A,1
187,RAD50,NBN,1
188,ATM,TP53,1
189,NEK2,MAD2L1,1
190,XRCC5,XRCC6,1
191,CDK1,CCNB1,1
192,CD274,PDCD1,1
193,CCND3,CDK6,1
194,CASP8,TNFRSF10A,1
195,CDKN2A,CDK4,1
196,RAD51,RAD52,1
197,BAD,BCL2L1,1
198,ERCC2,CDK7,1
199,PRF1,GZMB,1
200,BRCA2,PALB2,1
201,CDC27,PTTG1,1
202,FANCA,BLM,1
203,MCM5,CDC6,1
204,EGFR,EGF,1
205,FGF1,FGFR2,1
206,CDK1,CDC25C,1
207,IKBKB,TNF,1
208,CUL1,SKP2,1
209,S100A9,S100A8,1
210,EPO,EPOR,1
211,VEGFA,FLT1,1
212,EDN1,EDNRB,1
213,CCND3,CDKN1B,1
214,CDT1,MCM5,1
215,MT-ND3,MT-ND2,1
216,PDGFRB,PLCG1,1
217,FANCA,FANCF,1
218,B2M,HLA-C,1
219,NCOR2,HDAC3,1
220,NCOA1,CREBBP,1
221,HSPA8,HSP90AA1,1
222,FANCA,HES1,1
223,CTNNB1,CTNNA1,1
224,MAML2,NOTCH1,1
225,FANCM,FANCE,1
226,HRAS,PIK3CA,1
227,FANCF,HES1,1
228,IL2RA,IL2,1
229,HNRNPK,HNRNPA1,1
230,RPS27,RPSA,1
231,CDKN1A,CCNE1,1
232,ORC1,MCM5,1
233,FANCG,HES1,1
234,TNFRSF10B,TNFSF10,1
235,E2F4,RBL1,1
236,CDK1,CCNA2,1
237,CCL5,CCR5,1
238,CDC45,MCM5,1
239,DHFR,TYMS,1
240,FANCF,FANCE,1
241,CDC45,CDC6,1
242,AKT1,PDPK1,1
243,RAD51D,XRCC2,1
244,MT-ND2,MT-ND4,1
245,CCNB2,CCNB1,1
246,BLM,MLH1,1
247,XIAP,CASP8,1
248,IKBKG,TNF,1
249,SERPINE1,PLAT,1
250,BUB1,CCNB2,1
251,ORC1,MCM2,1
252,MSH6,MLH1,1
253,RBBP4,MTA1,1
254,BUB3,BUB1B,1
255,FANCA,FANCM,1
256,TSC1,TSC2,1
257,CCNE1,CDKN1B,1
258,VEGFC,KDR,1
259,SERPINC1,F2,1
260,GSK3B,AXIN1,1
261,CCNB2,AURKA,1
262,RB1,CDK4,1
263,PRLR,PRL,1
264,HIF1A,VHL,1
265,KRT5,KRT14,1
266,SKP2,RBX1,1
267,CASP8,FADD,1
268,RPS20,RPSA,1
269,FANCG,FANCF,1
270,JUN,ATF3,1
271,AURKB,BUB1,1
272,MSH3,MSH2,1
273,MT-ND2,MT-ND6,1
274,TP53,CREBBP,1
275,CDT1,MCM2,1
276,KL,FGF23,1
277,CASP8,CASP10,1
278,FANCA,FANCG,1
279,MCM3,CDC6,1
280,PIK3R1,PIK3CA,1
281,PGF,FLT1,1
282,SMARCA2,SMARCB1,1
283,TPX2,AURKA,1
284,ERCC5,ERCC3,1
285,BCL2L1,TP53,1
286,MET,HGF,1
287,ORC1,MCM4,1
288,WRN,RPA1,1
289,PPP2R1A,PPP2R1B,1
290,CDK2,CCND1,1
291,MCM2,RPA1,1
292,BUB1B,CCNA2,1
293,RPS20,RPS27A,1
294,MCM3,ORC1,1
295,FANCA,RPA1,1
296,MSH6,MSH2,1
297,ITGAL,ICAM1,1
298,ITGB1,ITGA5,1
299,CDC27,MAD2L1,1
300,E2F2,RB1,1
301,NRP1,SEMA3A,1
302,B2M,HLA-A,1
303,BUB1,PLK1,1
304,CDK2,CCNE1,1
305,ERCC2,CCNH,1
306,VEGFC,FLT4,1
307,CD40,CD40LG,1
308,FANCG,FANCC,1
309,TNF,RIPK1,1
310,CDK1,MAD2L1,1
311,APAF1,CASP9,1
312,CCNA2,CDK2,1
313,KIT,KITLG,1
314,RPS27,RPS27A,1
315,CD86,CTLA4,1
316,GTF2H5,ERCC3,1
317,AKT2,PDPK1,1
318,PLAU,SERPINE1,1
319,CDK1,BUB1,1
320,CDC45,ORC1,1
321,MSH3,MLH1,1
322,CSF1,CSF1R,1
323,FANCC,FANCM,1
324,CHEK1,ATM,1
325,GLI2,SUFU,1
326,BCL2L11,BCL2L1,1
327,IGF1,IGFBP1,1
328,ORC1,CDT1,1
329,CALR,HSP90B1,1
330,SOS1,GRB2,1
331,HDAC1,MTA1,1
332,CTLA4,CD80,1
333,HSPA8,BCAS2,1
334,TP53BP1,ATM,1
335,ERCC4,ERCC1,1
336,CDC25C,CCNB1,1
337,ERCC3,CDK7,1
338,SDHD,SDHC,1
339,IKBKG,IKBKB,1
340,TNFSF10,TNFRSF10A,1
341,EDN1,EDNRA,1
342,MCM3,CDT1,1
343,INS,INSR,1
344,B2M,HLA-B,1
345,HRAS,SOS1,1
346,CUL4A,RBX1,1
347,IL4R,IL4,1
348,PCNA,FEN1,1
349,EXO1,MSH2,1
350,MCM4,RPA1,1
351,CDK1,BUB1B,1
352,CCND2,CDK4,1
353,GTF2H5,ERCC2,1
354,MT-CO2,MT-CO1,1
355,RAD52,RPA1,1
356,CDKN1A,TP53,1
357,PSENEN,PSEN2,1
358,AURKB,CCNB2,1
359,BUB1,MAD2L1,1
360,CDKN1A,CDK4,1
361,CDK1,CCNB2,1
362,RRM2,RRM1,1
363,AGER,S100B,1
364,CDT1,MCM4,1
365,XRCC4,PRKDC,1
366,MAML2,NOTCH3,1
367,CASP10,TNFRSF10B,1
368,CCND3,CDK2,1
369,FANCG,RPA1,1
370,TNFSF11,TNFRSF11B,1
371,MAD2L1,CCNA2,1
372,VEGFA,KDR,1
373,VEGFB,FLT1,1
374,IGF1,IGF1R,1
375,ORC1,CDC6,1
376,CASP8,FAS,1
377,TRAF6,MYD88,1
378,FOS,JUNB,1
379,EEF1A1,RPS27A,1
380,FANCG,BLM,1
381,MT-CO1,CYCS,1
382,CTNND1,CDH1,1
383,CDKN1A,CCNA2,1
384,TP53,MDM2,1
385,PTK2B,PXN,1
386,MT-ND3,MT-ND6,1
387,CDK6,CCNE1,1
388,PTK2,PXN,1
389,MCM3,MCM4,1
390,PMS2,MSH2,1
391,PCNA,MSH6,1
392,GSK3B,AKT3,1
393,SDHB,SDHA,1
394,FYN,CTNNB1,1
395,MAPK9,JUN,1
396,CFLAR,TNFRSF10B,1
397,RB1,CDK2,1
398,HNRNPA2B1,HNRNPA1,1
399,XPA,ERCC4,1
